keys,pt_BR,en
Um Roteiro Filmável,Um Roteiro Filmável,A Shootable Screenplay
"Cabeçalhos de cena, rubricas e diálogo. Alguém poderia rodar isto.","Cabeçalhos de cena, rubricas e diálogo. Alguém poderia rodar isto.","Slug lines, action and dialogue. Someone could actually shoot this."
Um Tratado,Um Tratado,A Treatise
Quatrocentas páginas sobre um assunto que ele não conhece.,Quatrocentas páginas sobre um assunto que ele não conhece.,Four hundred pages on a subject he knows nothing about.
Uma Obra-Prima,Uma Obra-Prima,A Masterpiece
Ninguém sabe dizer por quê. Só que é.,Ninguém sabe dizer por quê. Só que é.,Nobody can say why. Only that it is.
Um Best-Seller,Um Best-Seller,A Best-Seller
Teria vendido milhões. Foi produzido por um macaco às três da manhã.,Teria vendido milhões. Foi produzido por um macaco às três da manhã.,It would have sold millions. A monkey produced it at three in the morning.
Uma Enciclopédia Coerente,Uma Enciclopédia Coerente,A Coherent Encyclopaedia
Trinta volumes que concordam entre si. Nem as de verdade conseguem.,Trinta volumes que concordam entre si. Nem as de verdade conseguem.,Thirty volumes that agree with each other. Not even the real ones manage that.
A Teoria da Relatividade,A Teoria da Relatividade,The Theory of Relativity
"As equações certas, na ordem certa. Quarenta anos antes do previsto.","As equações certas, na ordem certa. Quarenta anos antes do previsto.",The right equations in the right order. Forty years ahead of schedule.
Uma Língua Inteira,Uma Língua Inteira,An Entire Language
"Gramática, vocabulário e exceções. As exceções são o mais convincente.","Gramática, vocabulário e exceções. As exceções são o mais convincente.","Grammar, vocabulary and exceptions. The exceptions are the convincing part."
Um Dicionário Completo,Um Dicionário Completo,A Complete Dictionary
"Todas as palavras, cada uma com o significado certo ao lado.","Todas as palavras, cada uma com o significado certo ao lado.","Every word, each with the right meaning beside it."
Um Livro Que Não Existe,Um Livro Que Não Existe,A Book That Does Not Exist
"Citado em outros livros, nunca escrito. Agora existe.","Citado em outros livros, nunca escrito. Agora existe.","Cited in other books, never written. It exists now."
A Sua Próxima Frase,A Sua Próxima Frase,Your Next Sentence
"Aquela que você ia dizer agora. Está aqui, já pronta.","Aquela que você ia dizer agora. Está aqui, já pronta.","The one you were about to say. It is here already, finished."
Uma Biblioteca Coerente,Uma Biblioteca Coerente,A Coherent Library
Mil livros que se referenciam sem nenhum erro de citação.,Mil livros que se referenciam sem nenhum erro de citação.,A thousand books citing each other without a single wrong reference.
O Texto Perfeito,O Texto Perfeito,The Perfect Text
Nenhuma palavra sobra e nenhuma falta. Ninguém consegue lê-lo duas vezes igual.,Nenhuma palavra sobra e nenhuma falta. Ninguém consegue lê-lo duas vezes igual.,"Not one word too many, not one missing. Nobody reads it the same way twice."
Uma Prova Matemática,Uma Prova Matemática,A Mathematical Proof
De um teorema que ninguém tinha enunciado. A prova está correta.,De um teorema que ninguém tinha enunciado. A prova está correta.,Of a theorem nobody had stated. The proof is correct.
Sua Própria Descoberta,Sua Própria Descoberta,This Very Discovery
O macaco acabou de escrever uma descrição desta descoberta.,O macaco acabou de escrever uma descrição desta descoberta.,The monkey has just produced a description of this discovery.
Este Parágrafo,Este Parágrafo,This Paragraph
"Não o parecido. Este, com esta vírgula, nesta posição.","Não o parecido. Este, com esta vírgula, nesta posição.","Not one like it. This one, with this comma, in this position."
Ele escreveu o nome do jogo.,Ele escreveu o nome do jogo.,He wrote the name of the game.
a tecla desce e o mundo não repara,a tecla desce e o mundo não repara,the key goes down and the world says nothing
há uma folha esperando desde ontem,há uma folha esperando desde ontem,a sheet has been waiting since yesterday
o acaso tem paciência de sobra,o acaso tem paciência de sobra,chance has patience to spare
alguém datilografa do outro lado,alguém datilografa do outro lado,someone is typing on the other side
entre duas letras cabe um século,entre duas letras cabe um século,a century fits between two letters
a máquina range como quem lembra,a máquina range como quem lembra,the machine creaks like something remembering
nada disto foi dito de propósito,nada disto foi dito de propósito,none of this was said on purpose
a página aceita qualquer coisa,a página aceita qualquer coisa,the page will accept anything
o dedo não sabe o que a linha soube,o dedo não sabe o que a linha soube,the finger never knew what the line knew
tudo que é possível já está escrito,tudo que é possível já está escrito,everything possible is already written
a noite é longa e o papel é branco,a noite é longa e o papel é branco,the night is long and the paper is blank
ninguém prometeu que faria sentido,ninguém prometeu que faria sentido,nobody promised it would make sense
"Começo, meio e fim. Nessa ordem, inclusive.","Começo, meio e fim. Nessa ordem, inclusive.","Beginning, middle and end. In that order, even."
Polegar Oponível,Polegar Oponível,Opposable Thumb
O polegar já estava ali desde o começo. Ninguém tinha pensado em usá-lo para nada.,O polegar já estava ali desde o começo. Ninguém tinha pensado em usá-lo para nada.,The thumb had been there all along. Nobody had thought to use it for anything.
Banquinho Mais Alto,Banquinho Mais Alto,A Taller Stool
Os cotovelos passam a formar um ângulo reto com a mesa. Ninguém esperava que isso importasse.,Os cotovelos passam a formar um ângulo reto com a mesa. Ninguém esperava que isso importasse.,The elbows now meet the desk at a right angle. Nobody expected that to matter.
Memória Muscular,Memória Muscular,Muscle Memory
Os dedos repetem sozinhos o que já repetiram antes. O macaco não aprendeu nada; as mãos aprenderam.,Os dedos repetem sozinhos o que já repetiram antes. O macaco não aprendeu nada; as mãos aprenderam.,The fingers repeat what they have already repeated. The monkey learned nothing; the hands did.
Postura de Trabalho,Postura de Trabalho,Working Posture
"Costas retas cansam menos, e o que cansa menos dura mais. É a coisa menos engraçada que aconteceu aqui.","Costas retas cansam menos, e o que cansa menos dura mais. É a coisa menos engraçada que aconteceu aqui.","A straight back tires less, and what tires less lasts longer. It is the least funny thing that has happened here."
Os Dois Pés,Os Dois Pés,Both Feet
"Depois das duas mãos, alguém perguntou por que parar nas mãos. Funciona. Ninguém quis investigar.","Depois das duas mãos, alguém perguntou por que parar nas mãos. Funciona. Ninguém quis investigar.","After both hands, someone asked why stop at hands. It works. Nobody wanted to look into it."
Equipe de Digitação,Equipe de Digitação,Typing Team
"Vários macacos na mesma folha, sem combinar nada. O resultado sai antes de qualquer um deles terminar.","Vários macacos na mesma folha, sem combinar nada. O resultado sai antes de qualquer um deles terminar.","Several monkeys on one sheet, agreeing on nothing. The result arrives before any of them finishes."
Fita Nova,Fita Nova,A Fresh Ribbon
"A tinta tinha acabado fazia semanas. Ninguém reparou, porque ninguém estava lendo.","A tinta tinha acabado fazia semanas. Ninguém reparou, porque ninguém estava lendo.","The ink had run out weeks ago. Nobody noticed, because nobody was reading."
Luz da Mesa,Luz da Mesa,A Desk Lamp
O macaco vinha datilografando no escuro. Não fazia a menor diferença — e agora faz.,O macaco vinha datilografando no escuro. Não fazia a menor diferença — e agora faz.,The monkey had been typing in the dark. It made no difference at all — and now it does.
Martelos Alinhados,Martelos Alinhados,Aligned Typebars
"Cada tecla passa a bater onde deveria. Antes, algumas batiam onde desse.","Cada tecla passa a bater onde deveria. Antes, algumas batiam onde desse.","Every key now strikes where it should. Before, some struck wherever they could."
Carbono Entre as Folhas,Carbono Entre as Folhas,Carbon Between the Sheets
"Uma tecla, duas páginas. A segunda sai mais fraca, e ninguém aqui confere qualidade.","Uma tecla, duas páginas. A segunda sai mais fraca, e ninguém aqui confere qualidade.","One key, two pages. The second comes out fainter, and nobody here checks quality."
Molas Reforçadas,Molas Reforçadas,Stronger Springs
A tecla sobe antes de o dedo pensar em levantar. A máquina passou a esperar menos pelo macaco.,A tecla sobe antes de o dedo pensar em levantar. A máquina passou a esperar menos pelo macaco.,The key rises before the finger thinks of lifting. The machine now waits less on the monkey.
Teclas Industriais,Teclas Industriais,Industrial Keys
Feitas para uma fábrica que datilografava vinte horas por dia. Aqui vão trabalhar bem mais que isso.,Feitas para uma fábrica que datilografava vinte horas por dia. Aqui vão trabalhar bem mais que isso.,Built for a factory that typed twenty hours a day. Here they will work rather longer than that.
Motor Elétrico,Motor Elétrico,Electric Motor
O dedo deixa de fornecer a força e passa apenas a escolher a tecla. A escolha continua aleatória.,O dedo deixa de fornecer a força e passa apenas a escolher a tecla. A escolha continua aleatória.,The finger stops supplying the force and merely picks the key. The picking is still random.
Sistema Automático,Sistema Automático,Automatic System
"A máquina troca a folha, alinha a margem e recomeça. Ninguém precisa estar na sala para isso.","A máquina troca a folha, alinha a margem e recomeça. Ninguém precisa estar na sala para isso.","The machine changes the sheet, sets the margin and begins again. Nobody need be in the room."
Mesa Maior,Mesa Maior,A Bigger Desk
Cabe mais macaco por metro quadrado. É exatamente tão desconfortável quanto parece.,Cabe mais macaco por metro quadrado. É exatamente tão desconfortável quanto parece.,More monkey fits per square metre. It is exactly as uncomfortable as it sounds.
Pausa para o Almoço,Pausa para o Almoço,Lunch Break
"Vinte minutos parados, e a produção do dia inteiro sobe. A administração não sabe explicar por quê.","Vinte minutos parados, e a produção do dia inteiro sobe. A administração não sabe explicar por quê.","Twenty minutes of nothing, and the whole day's output rises. Management cannot explain it."
Supervisor,Supervisor,Supervisor
"Ele não datilografa. Ele anda entre as mesas, e as mesas por onde ele passa produzem mais.","Ele não datilografa. Ele anda entre as mesas, e as mesas por onde ele passa produzem mais.","He does not type. He walks between the desks, and the desks he passes produce more."
Departamento de Digitação,Departamento de Digitação,Typing Department
Agora existe um organograma. Metade das caixas está em branco e mesmo assim funciona.,Agora existe um organograma. Metade das caixas está em branco e mesmo assim funciona.,There is an org chart now. Half the boxes are empty and it works anyway.
Linha de Produção,Linha de Produção,Production Line
Cada macaco datilografa uma letra e passa a folha adiante. A folha nunca para de andar.,Cada macaco datilografa uma letra e passa a folha adiante. A folha nunca para de andar.,Each monkey types one letter and passes the sheet along. The sheet never stops moving.
"Aberto na mesa, numa página qualquer. Nenhum macaco consultou — e a taxa de palavras subiu.","Aberto na mesa, numa página qualquer. Nenhum macaco consultou — e a taxa de palavras subiu.",Open on the desk at no page in particular. No monkey consulted it — and the word rate went up.
Alfabeto Reordenado,Alfabeto Reordenado,Reordered Alphabet
"As letras mais prováveis ficam sob os dedos. O acaso continua acaso, só que mais bem servido.","As letras mais prováveis ficam sob os dedos. O acaso continua acaso, só que mais bem servido.","The likelier letters sit under the fingers. Chance is still chance, just better served."
Tabela de Frequência,Tabela de Frequência,Frequency Table
"Alguém contou quantas vezes cada letra aparece. Só de estar pregada na parede, ajuda.","Alguém contou quantas vezes cada letra aparece. Só de estar pregada na parede, ajuda.","Someone counted how often each letter appears. Merely pinned to the wall, it helps."
Linguística Estatística,Linguística Estatística,Statistical Linguistics
A língua vira uma tabela de probabilidades. Fica menos bonita e muito mais produtiva.,A língua vira uma tabela de probabilidades. Fica menos bonita e muito mais produtiva.,"Language becomes a table of probabilities. Less beautiful, far more productive."
Modelagem Probabilística,Modelagem Probabilística,Probabilistic Modelling
O jogo passa a prever o que sairia — e o que sairia sai mais rápido por ter sido previsto.,O jogo passa a prever o que sairia — e o que sairia sai mais rápido por ter sido previsto.,The game starts predicting what would come out — and what would come out arrives faster for having been predicted.
O Macaco,O Macaco,The Monkey
A Máquina,A Máquina,The Machine
A Organização,A Organização,The Organisation
O Conhecimento,O Conhecimento,The Knowledge
Sem família,Sem família,No family
Dicionário de Bolso,Dicionário de Bolso,A Pocket Dictionary
COMBO,COMBO,COMBO
PALAVRAS,PALAVRAS,WORDS
FRASES,FRASES,SENTENCES
TEXTOS,TEXTOS,TEXTS
OBRAS,OBRAS,WORKS
IMPROVÁVEIS,IMPROVÁVEIS,IMPROBABLE
PARADOXAIS,PARADOXAIS,PARADOXICAL
Encontrada em %s,Encontrada em %s,Found on %s
Com 10^%d caracteres produzidos,Com 10^%d caracteres produzidos,At 10^%d characters produced
"Agora existe um organograma. Metade das caixas está em branco, e mesmo assim contratar ficou mais barato.","Agora existe um organograma. Metade das caixas está em branco, e mesmo assim contratar ficou mais barato.","There is an org chart now. Half the boxes are empty, and hiring got cheaper anyway."
Macaco descansado vai embora menos. Contratar o próximo ficou mais barato.,Macaco descansado vai embora menos. Contratar o próximo ficou mais barato.,A rested monkey leaves less often. Hiring the next one got cheaper.
REGISTRO RECENTE,REGISTRO RECENTE,RECENT LOG
o macaco produz isto sozinho a cada segundo:,o macaco produz isto sozinho a cada segundo:,the monkey produces this by itself every second:
As Páginas Não Contam Mais,As Páginas Não Contam Mais,Pages No Longer Count
Alguém parou de converter em páginas. Não havia mais papel suficiente na metáfora.,Alguém parou de converter em páginas. Não havia mais papel suficiente na metáfora.,Someone stopped converting into pages. There was not enough paper left in the metaphor.
"Uma página cabe umas duas mil letras. A partir de certo ponto, dizer o número em páginas exige mais dígitos do que dizer o número.","Uma página cabe umas duas mil letras. A partir de certo ponto, dizer o número em páginas exige mais dígitos do que dizer o número.","A page holds some two thousand letters. Past a point, saying the number in pages takes more digits than saying the number."
A Notação Mudou,A Notação Mudou,The Notation Changed
Os números deixaram de caber por extenso. Ninguém avisou; eles simplesmente encolheram.,Os números deixaram de caber por extenso. Ninguém avisou; eles simplesmente encolheram.,The numbers stopped fitting when spelled out. Nobody announced it; they simply shrank.
Notação científica não é um jeito de escrever números grandes. É o reconhecimento de que o nome deles deixou de importar.,Notação científica não é um jeito de escrever números grandes. É o reconhecimento de que o nome deles deixou de importar.,Scientific notation is not a way of writing large numbers. It is the admission that their names stopped mattering.
Um Silêncio,Um Silêncio,A Silence
"Por quatro segundos, nenhuma tecla foi pressionada. O macaco depois não soube explicar.","Por quatro segundos, nenhuma tecla foi pressionada. O macaco depois não soube explicar.","For four seconds, no key was pressed. The monkey could not explain it afterwards."
"A Mesma Frase, De Novo","A Mesma Frase, De Novo","The Same Sentence, Again"
"Já tinha saído antes. Com produção suficiente, tudo já saiu antes.","Já tinha saído antes. Com produção suficiente, tudo já saiu antes.","It had come out before. With enough production, everything has come out before."
"Com um alfabeto finito, repetir é inevitável antes de esgotar. É por isso que o teorema fala em certeza, e não em sorte.","Com um alfabeto finito, repetir é inevitável antes de esgotar. É por isso que o teorema fala em certeza, e não em sorte.","With a finite alphabet, repetition comes before exhaustion. That is why the theorem speaks of certainty, not luck."
Alguma Coisa Vai Acontecer,Alguma Coisa Vai Acontecer,Something Is About To Happen
A produção passou de qualquer coisa que se possa querer produzir. E continua subindo.,A produção passou de qualquer coisa que se possa querer produzir. E continua subindo.,Production has passed anything anyone might want produced. And it keeps rising.
"Quando a quantidade deixa de ser o problema, o que sobra é a pergunta que o Teorema faz.","Quando a quantidade deixa de ser o problema, o que sobra é a pergunta que o Teorema faz.","When quantity stops being the problem, what remains is the question the Theorem asks."
